Model	Transcription factor
NFIC_HUMAN.H11MO.1.A	HUMAN:NFIC
NFIL3_HUMAN.H11MO.0.D	HUMAN:NFIL3
NFKB1_HUMAN.H11MO.1.B	HUMAN:NFKB1
NFKB2_HUMAN.H11MO.0.B	HUMAN:NFKB2
NFYA_HUMAN.H11MO.0.A	HUMAN:NFYA
NFYB_HUMAN.H11MO.0.A	HUMAN:NFYB
NFYC_HUMAN.H11MO.0.A	HUMAN:NFYC
NGN2_HUMAN.H11MO.0.D	HUMAN:NEUROG2
NKX21_HUMAN.H11MO.0.A	HUMAN:NKX2-1
NKX22_HUMAN.H11MO.0.D	HUMAN:NKX2-2
NKX23_HUMAN.H11MO.0.D	HUMAN:NKX2-3
NKX25_HUMAN.H11MO.0.B	HUMAN:NKX2-5
NKX28_HUMAN.H11MO.0.C	HUMAN:NKX2-8
NKX31_HUMAN.H11MO.0.C	HUMAN:NKX3-1
NKX32_HUMAN.H11MO.0.C	HUMAN:NKX3-2
NKX61_HUMAN.H11MO.0.B	HUMAN:NKX6-1
NKX61_HUMAN.H11MO.1.B	HUMAN:NKX6-1
NKX62_HUMAN.H11MO.0.D	HUMAN:NKX6-2
NOBOX_HUMAN.H11MO.0.C	HUMAN:NOBOX
NOTO_HUMAN.H11MO.0.D	HUMAN:NOTO
NR0B1_HUMAN.H11MO.0.D	HUMAN:NR0B1
NR1D1_HUMAN.H11MO.0.B	HUMAN:NR1D1
NR1D1_HUMAN.H11MO.1.D	HUMAN:NR1D1
NR1H2_HUMAN.H11MO.0.D	HUMAN:NR1H2
NR1H3_HUMAN.H11MO.0.B	HUMAN:NR1H3
NR1H3_HUMAN.H11MO.1.B	HUMAN:NR1H3
NR1H4_HUMAN.H11MO.0.B	HUMAN:NR1H4
NR1H4_HUMAN.H11MO.1.B	HUMAN:NR1H4
NR1I2_HUMAN.H11MO.0.C	HUMAN:NR1I2
NR1I2_HUMAN.H11MO.1.D	HUMAN:NR1I2
NR1I3_HUMAN.H11MO.0.C	HUMAN:NR1I3
NR1I3_HUMAN.H11MO.1.D	HUMAN:NR1I3
NR2C1_HUMAN.H11MO.0.C	HUMAN:NR2C1
NR2C2_HUMAN.H11MO.0.B	HUMAN:NR2C2
NR2E1_HUMAN.H11MO.0.D	HUMAN:NR2E1
NR2E3_HUMAN.H11MO.0.C	HUMAN:NR2E3
NR2F6_HUMAN.H11MO.0.D	HUMAN:NR2F6
NR4A1_HUMAN.H11MO.0.A	HUMAN:NR4A1
NR4A2_HUMAN.H11MO.0.C	HUMAN:NR4A2
NR4A3_HUMAN.H11MO.0.D	HUMAN:NR4A3
NR5A2_HUMAN.H11MO.0.B	HUMAN:NR5A2
NR6A1_HUMAN.H11MO.0.B	HUMAN:NR6A1
NRF1_HUMAN.H11MO.0.A	HUMAN:NRF1
NRL_HUMAN.H11MO.0.D	HUMAN:NRL
OLIG1_HUMAN.H11MO.0.D	HUMAN:OLIG1
OLIG2_HUMAN.H11MO.0.B	HUMAN:OLIG2
OLIG2_HUMAN.H11MO.1.B	HUMAN:OLIG2
OLIG3_HUMAN.H11MO.0.D	HUMAN:OLIG3
ONEC2_HUMAN.H11MO.0.D	HUMAN:ONECUT2
ONEC3_HUMAN.H11MO.0.D	HUMAN:ONECUT3
OSR2_HUMAN.H11MO.0.C	HUMAN:OSR2
OTX1_HUMAN.H11MO.0.D	HUMAN:OTX1
OTX2_HUMAN.H11MO.0.A	HUMAN:OTX2
OVOL1_HUMAN.H11MO.0.C	HUMAN:OVOL1
OVOL2_HUMAN.H11MO.0.D	HUMAN:OVOL2
OZF_HUMAN.H11MO.0.C	HUMAN:ZNF146
P53_HUMAN.H11MO.0.A	HUMAN:TP53
P53_HUMAN.H11MO.1.A	HUMAN:TP53
P5F1B_HUMAN.H11MO.0.D	HUMAN:POU5F1B
P63_HUMAN.H11MO.0.A	HUMAN:TP63
P63_HUMAN.H11MO.1.A	HUMAN:TP63
P73_HUMAN.H11MO.0.A	HUMAN:TP73
P73_HUMAN.H11MO.1.A	HUMAN:TP73
PATZ1_HUMAN.H11MO.0.C	HUMAN:PATZ1
PATZ1_HUMAN.H11MO.1.C	HUMAN:PATZ1
PAX1_HUMAN.H11MO.0.D	HUMAN:PAX1
PAX2_HUMAN.H11MO.0.D	HUMAN:PAX2
PAX3_HUMAN.H11MO.0.D	HUMAN:PAX3
PAX4_HUMAN.H11MO.0.D	HUMAN:PAX4
PAX5_HUMAN.H11MO.0.A	HUMAN:PAX5
PAX6_HUMAN.H11MO.0.C	HUMAN:PAX6
PAX7_HUMAN.H11MO.0.D	HUMAN:PAX7
PAX8_HUMAN.H11MO.0.D	HUMAN:PAX8
PBX1_HUMAN.H11MO.0.A	HUMAN:PBX1
PBX1_HUMAN.H11MO.1.C	HUMAN:PBX1
PBX2_HUMAN.H11MO.0.C	HUMAN:PBX2
PBX3_HUMAN.H11MO.0.A	HUMAN:PBX3
PBX3_HUMAN.H11MO.1.A	HUMAN:PBX3
PDX1_HUMAN.H11MO.0.A	HUMAN:PDX1
PDX1_HUMAN.H11MO.1.A	HUMAN:PDX1
PEBB_HUMAN.H11MO.0.C	HUMAN:CBFB
PHX2A_HUMAN.H11MO.0.D	HUMAN:PHOX2A
PHX2B_HUMAN.H11MO.0.D	HUMAN:PHOX2B
PIT1_HUMAN.H11MO.0.C	HUMAN:POU1F1
PITX1_HUMAN.H11MO.0.D	HUMAN:PITX1
PITX2_HUMAN.H11MO.0.D	HUMAN:PITX2
PITX3_HUMAN.H11MO.0.D	HUMAN:PITX3
PKNX1_HUMAN.H11MO.0.B	HUMAN:PKNOX1
PLAG1_HUMAN.H11MO.0.D	HUMAN:PLAG1
PLAL1_HUMAN.H11MO.0.D	HUMAN:PLAGL1
PO2F1_HUMAN.H11MO.0.C	HUMAN:POU2F1
PO2F2_HUMAN.H11MO.0.A	HUMAN:POU2F2
PO2F3_HUMAN.H11MO.0.D	HUMAN:POU2F3
PO3F1_HUMAN.H11MO.0.C	HUMAN:POU3F1
PO3F2_HUMAN.H11MO.0.A	HUMAN:POU3F2
PO3F3_HUMAN.H11MO.0.D	HUMAN:POU3F3
PO3F4_HUMAN.H11MO.0.D	HUMAN:POU3F4
PO4F1_HUMAN.H11MO.0.D	HUMAN:POU4F1
PO4F2_HUMAN.H11MO.0.D	HUMAN:POU4F2
PO4F3_HUMAN.H11MO.0.D	HUMAN:POU4F3
PO5F1_HUMAN.H11MO.0.A	HUMAN:POU5F1
PO5F1_HUMAN.H11MO.1.A	HUMAN:POU5F1
PO6F1_HUMAN.H11MO.0.D	HUMAN:POU6F1
PO6F2_HUMAN.H11MO.0.D	HUMAN:POU6F2
PPARA_HUMAN.H11MO.0.B	HUMAN:PPARA
PPARA_HUMAN.H11MO.1.B	HUMAN:PPARA
PPARD_HUMAN.H11MO.0.D	HUMAN:PPARD
PPARG_HUMAN.H11MO.0.A	HUMAN:PPARG
PPARG_HUMAN.H11MO.1.A	HUMAN:PPARG
PRD14_HUMAN.H11MO.0.A	HUMAN:PRDM14
PRDM1_HUMAN.H11MO.0.A	HUMAN:PRDM1
PRDM4_HUMAN.H11MO.0.D	HUMAN:PRDM4
PRDM6_HUMAN.H11MO.0.C	HUMAN:PRDM6
PRGR_HUMAN.H11MO.0.A	HUMAN:PGR
PRGR_HUMAN.H11MO.1.A	HUMAN:PGR
PROP1_HUMAN.H11MO.0.D	HUMAN:PROP1
PROX1_HUMAN.H11MO.0.D	HUMAN:PROX1
PRRX1_HUMAN.H11MO.0.D	HUMAN:PRRX1
PRRX2_HUMAN.H11MO.0.C	HUMAN:PRRX2
PTF1A_HUMAN.H11MO.0.B	HUMAN:PTF1A
PTF1A_HUMAN.H11MO.1.B	HUMAN:PTF1A
PURA_HUMAN.H11MO.0.D	HUMAN:PURA
RARA_HUMAN.H11MO.0.A	HUMAN:RARA
RARA_HUMAN.H11MO.1.A	HUMAN:RARA
RARA_HUMAN.H11MO.2.A	HUMAN:RARA
RARB_HUMAN.H11MO.0.D	HUMAN:RARB
RARG_HUMAN.H11MO.0.B	HUMAN:RARG
RARG_HUMAN.H11MO.1.B	HUMAN:RARG
RARG_HUMAN.H11MO.2.D	HUMAN:RARG
RAX2_HUMAN.H11MO.0.D	HUMAN:RAX2
RELB_HUMAN.H11MO.0.C	HUMAN:RELB
REL_HUMAN.H11MO.0.B	HUMAN:REL
REST_HUMAN.H11MO.0.A	HUMAN:REST
RFX1_HUMAN.H11MO.0.B	HUMAN:RFX1
RFX1_HUMAN.H11MO.1.B	HUMAN:RFX1
RFX2_HUMAN.H11MO.0.A	HUMAN:RFX2
RFX2_HUMAN.H11MO.1.A	HUMAN:RFX2
RFX3_HUMAN.H11MO.0.B	HUMAN:RFX3
RFX4_HUMAN.H11MO.0.D	HUMAN:RFX4
RFX5_HUMAN.H11MO.0.A	HUMAN:RFX5
RFX5_HUMAN.H11MO.1.A	HUMAN:RFX5
RHXF1_HUMAN.H11MO.0.D	HUMAN:RHOXF1
RORA_HUMAN.H11MO.0.C	HUMAN:RORA
RORG_HUMAN.H11MO.0.C	HUMAN:RORC
RREB1_HUMAN.H11MO.0.D	HUMAN:RREB1
RUNX1_HUMAN.H11MO.0.A	HUMAN:RUNX1
RUNX2_HUMAN.H11MO.0.A	HUMAN:RUNX2
RUNX3_HUMAN.H11MO.0.A	HUMAN:RUNX3
RXRA_HUMAN.H11MO.0.A	HUMAN:RXRA
RXRA_HUMAN.H11MO.1.A	HUMAN:RXRA
RXRB_HUMAN.H11MO.0.C	HUMAN:RXRB
RXRG_HUMAN.H11MO.0.B	HUMAN:RXRG
RX_HUMAN.H11MO.0.D	HUMAN:RAX
SALL4_HUMAN.H11MO.0.B	HUMAN:SALL4
SCRT1_HUMAN.H11MO.0.D	HUMAN:SCRT1
SCRT2_HUMAN.H11MO.0.D	HUMAN:SCRT2
SHOX2_HUMAN.H11MO.0.D	HUMAN:SHOX2
SHOX_HUMAN.H11MO.0.D	HUMAN:SHOX
SIX1_HUMAN.H11MO.0.A	HUMAN:SIX1
SIX2_HUMAN.H11MO.0.A	HUMAN:SIX2
SMAD1_HUMAN.H11MO.0.D	HUMAN:SMAD1
SMAD2_HUMAN.H11MO.0.A	HUMAN:SMAD2
SMAD3_HUMAN.H11MO.0.B	HUMAN:SMAD3
SMAD4_HUMAN.H11MO.0.B	HUMAN:SMAD4
SMCA1_HUMAN.H11MO.0.C	HUMAN:SMARCA1
SMCA5_HUMAN.H11MO.0.C	HUMAN:SMARCA5
SNAI1_HUMAN.H11MO.0.C	HUMAN:SNAI1
SNAI2_HUMAN.H11MO.0.A	HUMAN:SNAI2
SOX10_HUMAN.H11MO.0.B	HUMAN:SOX10
SOX10_HUMAN.H11MO.1.A	HUMAN:SOX10
SOX11_HUMAN.H11MO.0.D	HUMAN:SOX11
SOX13_HUMAN.H11MO.0.D	HUMAN:SOX13
SOX15_HUMAN.H11MO.0.D	HUMAN:SOX15
SOX17_HUMAN.H11MO.0.C	HUMAN:SOX17
SOX18_HUMAN.H11MO.0.D	HUMAN:SOX18
SOX1_HUMAN.H11MO.0.D	HUMAN:SOX1
SOX21_HUMAN.H11MO.0.D	HUMAN:SOX21
SOX2_HUMAN.H11MO.0.A	HUMAN:SOX2
SOX2_HUMAN.H11MO.1.A	HUMAN:SOX2
SOX3_HUMAN.H11MO.0.B	HUMAN:SOX3
SOX4_HUMAN.H11MO.0.B	HUMAN:SOX4
SOX5_HUMAN.H11MO.0.C	HUMAN:SOX5
SOX7_HUMAN.H11MO.0.D	HUMAN:SOX7
SOX8_HUMAN.H11MO.0.D	HUMAN:SOX8
SOX9_HUMAN.H11MO.0.B	HUMAN:SOX9
SOX9_HUMAN.H11MO.1.B	HUMAN:SOX9
SP1_HUMAN.H11MO.0.A	HUMAN:SP1
SP1_HUMAN.H11MO.1.A	HUMAN:SP1
SP2_HUMAN.H11MO.0.A	HUMAN:SP2
SP2_HUMAN.H11MO.1.B	HUMAN:SP2
SP3_HUMAN.H11MO.0.B	HUMAN:SP3
SP4_HUMAN.H11MO.0.A	HUMAN:SP4
SP4_HUMAN.H11MO.1.A	HUMAN:SP4
SPDEF_HUMAN.H11MO.0.D	HUMAN:SPDEF
SPI1_HUMAN.H11MO.0.A	HUMAN:SPI1
SPIB_HUMAN.H11MO.0.A	HUMAN:SPIB
SPIC_HUMAN.H11MO.0.D	HUMAN:SPIC
SPZ1_HUMAN.H11MO.0.D	HUMAN:SPZ1
SRBP1_HUMAN.H11MO.0.A	HUMAN:SREBF1
SRBP2_HUMAN.H11MO.0.B	HUMAN:SREBF2
SRF_HUMAN.H11MO.0.A	HUMAN:SRF
SRY_HUMAN.H11MO.0.B	HUMAN:SRY
STA5A_HUMAN.H11MO.0.A	HUMAN:STAT5A
STA5B_HUMAN.H11MO.0.A	HUMAN:STAT5B
STAT1_HUMAN.H11MO.0.A	HUMAN:STAT1
STAT1_HUMAN.H11MO.1.A	HUMAN:STAT1
STAT2_HUMAN.H11MO.0.A	HUMAN:STAT2
STAT3_HUMAN.H11MO.0.A	HUMAN:STAT3
STAT4_HUMAN.H11MO.0.A	HUMAN:STAT4
STAT6_HUMAN.H11MO.0.B	HUMAN:STAT6
STF1_HUMAN.H11MO.0.B	HUMAN:NR5A1
SUH_HUMAN.H11MO.0.A	HUMAN:RBPJ
TAF1_HUMAN.H11MO.0.A	HUMAN:TAF1
TAL1_HUMAN.H11MO.0.A	HUMAN:TAL1
TAL1_HUMAN.H11MO.1.A	HUMAN:TAL1
TBP_HUMAN.H11MO.0.A	HUMAN:TBP
TBR1_HUMAN.H11MO.0.D	HUMAN:TBR1
TBX15_HUMAN.H11MO.0.D	HUMAN:TBX15
TBX19_HUMAN.H11MO.0.D	HUMAN:TBX19
TBX1_HUMAN.H11MO.0.D	HUMAN:TBX1
TBX20_HUMAN.H11MO.0.D	HUMAN:TBX20
TBX21_HUMAN.H11MO.0.A	HUMAN:TBX21
TBX2_HUMAN.H11MO.0.D	HUMAN:TBX2
TBX3_HUMAN.H11MO.0.C	HUMAN:TBX3
TBX4_HUMAN.H11MO.0.D	HUMAN:TBX4
TBX5_HUMAN.H11MO.0.D	HUMAN:TBX5
TCF7_HUMAN.H11MO.0.A	HUMAN:TCF7
TEAD1_HUMAN.H11MO.0.A	HUMAN:TEAD1
TEAD2_HUMAN.H11MO.0.D	HUMAN:TEAD2
TEAD3_HUMAN.H11MO.0.D	HUMAN:TEAD3
TEAD4_HUMAN.H11MO.0.A	HUMAN:TEAD4
TEF_HUMAN.H11MO.0.D	HUMAN:TEF
TF2LX_HUMAN.H11MO.0.D	HUMAN:TGIF2LX
TF65_HUMAN.H11MO.0.A	HUMAN:RELA
TF7L1_HUMAN.H11MO.0.B	HUMAN:TCF7L1
TF7L2_HUMAN.H11MO.0.A	HUMAN:TCF7L2
TFAP4_HUMAN.H11MO.0.A	HUMAN:TFAP4
TFCP2_HUMAN.H11MO.0.D	HUMAN:TFCP2
TFDP1_HUMAN.H11MO.0.C	HUMAN:TFDP1
TFE2_HUMAN.H11MO.0.A	HUMAN:TCF3
TFE3_HUMAN.H11MO.0.B	HUMAN:TFE3
TFEB_HUMAN.H11MO.0.C	HUMAN:TFEB
TGIF1_HUMAN.H11MO.0.A	HUMAN:TGIF1
TGIF2_HUMAN.H11MO.0.D	HUMAN:TGIF2
THA11_HUMAN.H11MO.0.B	HUMAN:THAP11
THAP1_HUMAN.H11MO.0.C	HUMAN:THAP1
THA_HUMAN.H11MO.0.C	HUMAN:THRA
THA_HUMAN.H11MO.1.D	HUMAN:THRA
THB_HUMAN.H11MO.0.C	HUMAN:THRB
THB_HUMAN.H11MO.1.D	HUMAN:THRB
TLX1_HUMAN.H11MO.0.D	HUMAN:TLX1
TWST1_HUMAN.H11MO.0.A	HUMAN:TWIST1
TWST1_HUMAN.H11MO.1.A	HUMAN:TWIST1
TYY1_HUMAN.H11MO.0.A	HUMAN:YY1
TYY2_HUMAN.H11MO.0.D	HUMAN:YY2
UBIP1_HUMAN.H11MO.0.D	HUMAN:UBP1
UNC4_HUMAN.H11MO.0.D	HUMAN:UNCX
USF1_HUMAN.H11MO.0.A	HUMAN:USF1
USF2_HUMAN.H11MO.0.A	HUMAN:USF2
VAX1_HUMAN.H11MO.0.D	HUMAN:VAX1
VAX2_HUMAN.H11MO.0.D	HUMAN:VAX2
VDR_HUMAN.H11MO.0.A	HUMAN:VDR
VDR_HUMAN.H11MO.1.A	HUMAN:VDR
VENTX_HUMAN.H11MO.0.D	HUMAN:VENTX
VEZF1_HUMAN.H11MO.0.C	HUMAN:VEZF1
VEZF1_HUMAN.H11MO.1.C	HUMAN:VEZF1
VSX1_HUMAN.H11MO.0.D	HUMAN:VSX1
VSX2_HUMAN.H11MO.0.D	HUMAN:VSX2
WT1_HUMAN.H11MO.0.C	HUMAN:WT1
WT1_HUMAN.H11MO.1.B	HUMAN:WT1
XBP1_HUMAN.H11MO.0.D	HUMAN:XBP1
Z324A_HUMAN.H11MO.0.C	HUMAN:ZNF324
Z354A_HUMAN.H11MO.0.C	HUMAN:ZNF354A
ZBED1_HUMAN.H11MO.0.D	HUMAN:ZBED1
ZBT14_HUMAN.H11MO.0.C	HUMAN:ZBTB14
ZBT17_HUMAN.H11MO.0.A	HUMAN:ZBTB17
ZBT18_HUMAN.H11MO.0.C	HUMAN:ZBTB18
ZBT48_HUMAN.H11MO.0.C	HUMAN:ZBTB48
ZBT49_HUMAN.H11MO.0.D	HUMAN:ZBTB49
ZBT7A_HUMAN.H11MO.0.A	HUMAN:ZBTB7A
ZBT7B_HUMAN.H11MO.0.D	HUMAN:ZBTB7B
ZBTB4_HUMAN.H11MO.0.D	HUMAN:ZBTB4
ZBTB4_HUMAN.H11MO.1.D	HUMAN:ZBTB4
ZBTB6_HUMAN.H11MO.0.C	HUMAN:ZBTB6
ZEB1_HUMAN.H11MO.0.A	HUMAN:ZEB1
ZEP1_HUMAN.H11MO.0.D	HUMAN:HIVEP1
ZEP2_HUMAN.H11MO.0.D	HUMAN:HIVEP2
ZF64A_HUMAN.H11MO.0.D	HUMAN:ZFP64
ZFHX3_HUMAN.H11MO.0.D	HUMAN:ZFHX3
ZFP28_HUMAN.H11MO.0.C	HUMAN:ZFP28
ZFP42_HUMAN.H11MO.0.A	HUMAN:ZFP42
ZFP82_HUMAN.H11MO.0.C	HUMAN:ZFP82
ZFX_HUMAN.H11MO.0.A	HUMAN:ZFX
ZFX_HUMAN.H11MO.1.A	HUMAN:ZFX
ZIC1_HUMAN.H11MO.0.B	HUMAN:ZIC1
ZIC2_HUMAN.H11MO.0.D	HUMAN:ZIC2
ZIC3_HUMAN.H11MO.0.B	HUMAN:ZIC3
ZIC4_HUMAN.H11MO.0.D	HUMAN:ZIC4
ZIM3_HUMAN.H11MO.0.C	HUMAN:ZIM3
ZKSC1_HUMAN.H11MO.0.B	HUMAN:ZKSCAN1
ZKSC3_HUMAN.H11MO.0.D	HUMAN:ZKSCAN3
ZN121_HUMAN.H11MO.0.C	HUMAN:ZNF121
ZN134_HUMAN.H11MO.0.C	HUMAN:ZNF134
ZN134_HUMAN.H11MO.1.C	HUMAN:ZNF134
ZN136_HUMAN.H11MO.0.C	HUMAN:ZNF136
ZN140_HUMAN.H11MO.0.C	HUMAN:ZNF140
ZN143_HUMAN.H11MO.0.A	HUMAN:ZNF143
ZN148_HUMAN.H11MO.0.D	HUMAN:ZNF148
ZN214_HUMAN.H11MO.0.C	HUMAN:ZNF214
ZN219_HUMAN.H11MO.0.D	HUMAN:ZNF219
ZN232_HUMAN.H11MO.0.D	HUMAN:ZNF232
ZN250_HUMAN.H11MO.0.C	HUMAN:ZNF250
ZN257_HUMAN.H11MO.0.C	HUMAN:ZNF257
ZN260_HUMAN.H11MO.0.C	HUMAN:ZNF260
ZN263_HUMAN.H11MO.0.A	HUMAN:ZNF263
ZN263_HUMAN.H11MO.1.A	HUMAN:ZNF263
ZN264_HUMAN.H11MO.0.C	HUMAN:ZNF264
ZN274_HUMAN.H11MO.0.A	HUMAN:ZNF274
ZN281_HUMAN.H11MO.0.A	HUMAN:ZNF281
ZN282_HUMAN.H11MO.0.D	HUMAN:ZNF282
ZN317_HUMAN.H11MO.0.C	HUMAN:ZNF317
ZN320_HUMAN.H11MO.0.C	HUMAN:ZNF320
ZN322_HUMAN.H11MO.0.B	HUMAN:ZNF322
ZN329_HUMAN.H11MO.0.C	HUMAN:ZNF329
ZN331_HUMAN.H11MO.0.C	HUMAN:ZNF331
ZN333_HUMAN.H11MO.0.D	HUMAN:ZNF333
ZN335_HUMAN.H11MO.0.A	HUMAN:ZNF335
ZN335_HUMAN.H11MO.1.A	HUMAN:ZNF335
ZN341_HUMAN.H11MO.0.C	HUMAN:ZNF341
ZN341_HUMAN.H11MO.1.C	HUMAN:ZNF341
ZN350_HUMAN.H11MO.0.C	HUMAN:ZNF350
ZN350_HUMAN.H11MO.1.D	HUMAN:ZNF350
ZN382_HUMAN.H11MO.0.C	HUMAN:ZNF382
ZN384_HUMAN.H11MO.0.C	HUMAN:ZNF384
ZN394_HUMAN.H11MO.0.C	HUMAN:ZNF394
ZN394_HUMAN.H11MO.1.D	HUMAN:ZNF394
ZN410_HUMAN.H11MO.0.D	HUMAN:ZNF410
ZN418_HUMAN.H11MO.0.C	HUMAN:ZNF418
ZN418_HUMAN.H11MO.1.D	HUMAN:ZNF418
ZN423_HUMAN.H11MO.0.D	HUMAN:ZNF423
ZN436_HUMAN.H11MO.0.C	HUMAN:ZNF436
ZN449_HUMAN.H11MO.0.C	HUMAN:ZNF449
ZN467_HUMAN.H11MO.0.C	HUMAN:ZNF467
ZN490_HUMAN.H11MO.0.C	HUMAN:ZNF490
ZN502_HUMAN.H11MO.0.C	HUMAN:ZNF502
ZN524_HUMAN.H11MO.0.D	HUMAN:ZNF524
ZN528_HUMAN.H11MO.0.C	HUMAN:ZNF528
ZN547_HUMAN.H11MO.0.C	HUMAN:ZNF547
ZN549_HUMAN.H11MO.0.C	HUMAN:ZNF549
ZN554_HUMAN.H11MO.0.C	HUMAN:ZNF554
ZN554_HUMAN.H11MO.1.D	HUMAN:ZNF554
ZN563_HUMAN.H11MO.0.C	HUMAN:ZNF563
ZN563_HUMAN.H11MO.1.C	HUMAN:ZNF563
ZN582_HUMAN.H11MO.0.C	HUMAN:ZNF582
ZN586_HUMAN.H11MO.0.C	HUMAN:ZNF586
ZN589_HUMAN.H11MO.0.D	HUMAN:ZNF589
ZN652_HUMAN.H11MO.0.D	HUMAN:ZNF652
ZN667_HUMAN.H11MO.0.C	HUMAN:ZNF667
ZN680_HUMAN.H11MO.0.C	HUMAN:ZNF680
ZN708_HUMAN.H11MO.0.C	HUMAN:ZNF708
ZN708_HUMAN.H11MO.1.D	HUMAN:ZNF708
ZN713_HUMAN.H11MO.0.D	HUMAN:ZNF713
ZN740_HUMAN.H11MO.0.D	HUMAN:ZNF740
ZN768_HUMAN.H11MO.0.C	HUMAN:ZNF768
ZN770_HUMAN.H11MO.0.C	HUMAN:ZNF770
ZN770_HUMAN.H11MO.1.C	HUMAN:ZNF770
ZN784_HUMAN.H11MO.0.D	HUMAN:ZNF784
ZN816_HUMAN.H11MO.0.C	HUMAN:ZNF816
ZN816_HUMAN.H11MO.1.C	HUMAN:ZNF816
ZNF18_HUMAN.H11MO.0.C	HUMAN:ZNF18
ZNF41_HUMAN.H11MO.0.C	HUMAN:ZNF41
ZNF41_HUMAN.H11MO.1.C	HUMAN:ZNF41
ZNF76_HUMAN.H11MO.0.C	HUMAN:ZNF76
ZNF85_HUMAN.H11MO.0.C	HUMAN:ZNF85
ZNF85_HUMAN.H11MO.1.C	HUMAN:ZNF85
ZNF8_HUMAN.H11MO.0.C	HUMAN:ZNF8
ZSC16_HUMAN.H11MO.0.D	HUMAN:ZSCAN16
ZSC22_HUMAN.H11MO.0.C	HUMAN:ZSCAN22
ZSC31_HUMAN.H11MO.0.C	HUMAN:ZSCAN31
ZSCA4_HUMAN.H11MO.0.D	HUMAN:ZSCAN4
EVX1_HUMAN.H11MO.0.D RETRACTED!!!	HUMAN:EVX1
EVX2_HUMAN.H11MO.0.A RETRACTED!!!	HUMAN:EVX2
NFKB1_HUMAN.H11MO.0.A RETRACTED!!!	HUMAN:NFKB1